census_block_group,visits_wawa,visits_7_eleven,visits_starbucks
100030112011,60.0,,14.0
100030112012,84.0,,12.0
100030112021,260.0,14.0,51.0
100030112022,76.0,12.0,16.0
100030112031,206.0,20.0,44.0
100030112032,59.0,4.0,28.0
100030112033,179.0,4.0,32.0
100030112041,46.0,,5.0
100030112042,103.0,12.0,12.0
100030112051,115.0,4.0,37.0
100030112052,32.0,4.0,4.0
100030112061,126.0,20.0,47.0
100030112062,179.0,12.0,39.0
100030113001,76.0,4.0,12.0
100030113002,56.0,15.0,30.0
100030114001,63.0,4.0,4.0
100030114002,54.0,,26.0
100030114003,64.0,8.0,26.0
100030115001,46.0,4.0,25.0
100030115002,46.0,,
100030115003,96.0,,21.0
100030116001,20.0,4.0,8.0
100030116002,178.0,9.0,15.0
100030117001,92.0,9.0,46.0
100030117002,28.0,,22.0
100030117003,38.0,4.0,22.0
100030117004,33.0,,14.0
100030118001,12.0,,38.0
100030118002,96.0,,61.0
100030119001,53.0,,44.0
100030119002,17.0,4.0,40.0
100030119003,55.0,16.0,31.0
100030120001,18.0,8.0,4.0
100030120002,64.0,25.0,32.0
100030120003,31.0,4.0,8.0
100030121001,24.0,8.0,
100030121002,124.0,16.0,4.0
100030121003,21.0,25.0,
100030122001,56.0,16.0,8.0
100030122002,16.0,4.0,20.0
100030122003,33.0,4.0,8.0
100030122004,144.0,4.0,4.0
100030123001,53.0,16.0,
100030123002,83.0,24.0,8.0
100030124001,83.0,12.0,4.0
100030124002,60.0,4.0,
100030124003,124.0,20.0,8.0
100030124004,70.0,16.0,12.0
100030125001,24.0,8.0,12.0
100030125002,133.0,29.0,4.0
100030125003,73.0,16.0,12.0
100030125004,53.0,8.0,17.0
100030125005,44.0,6.0,8.0
100030125006,70.0,20.0,
100030126001,33.0,13.0,
100030126002,55.0,17.0,12.0
100030126003,65.0,4.0,4.0
100030127001,31.0,11.0,4.0
100030127002,43.0,12.0,
100030127003,37.0,25.0,8.0
100030127004,59.0,18.0,4.0
100030127005,63.0,21.0,4.0
100030129001,127.0,18.0,8.0
100030129002,82.0,29.0,4.0
100030129003,124.0,16.0,20.0
100030130001,62.0,16.0,4.0
100030130002,57.0,8.0,12.0
100030131001,99.0,4.0,4.0
100030131002,82.0,,4.0
100030131003,42.0,4.0,8.0
100030132001,72.0,,4.0
100030132002,37.0,4.0,8.0
100030132003,33.0,,4.0
100030133001,67.0,20.0,
100030133002,54.0,,10.0
100030134001,63.0,,4.0
100030134002,51.0,4.0,4.0
100030134003,8.0,,8.0
100030135011,104.0,,26.0
100030135012,51.0,9.0,21.0
100030135013,109.0,4.0,36.0
100030135014,116.0,12.0,53.0
100030135031,140.0,,75.0
100030135032,217.0,11.0,61.0
100030135033,98.0,,26.0
100030135034,40.0,,36.0
100030135051,8.0,,16.0
100030135052,98.0,17.0,34.0
100030135061,52.0,,12.0
100030135062,96.0,8.0,40.0
100030135063,97.0,,43.0
100030136041,104.0,10.0,29.0
100030136042,63.0,4.0,24.0
100030136043,67.0,,4.0
100030136071,67.0,8.0,37.0
100030136072,88.0,4.0,33.0
100030136073,106.0,,29.0
100030136074,105.0,8.0,26.0
100030136081,35.0,4.0,20.0
100030136082,128.0,12.0,22.0
100030136101,75.0,4.0,29.0
100030136102,44.0,14.0,30.0
100030136103,98.0,30.0,32.0
100030136104,28.0,,
100030136111,129.0,,25.0
100030136112,108.0,4.0,41.0
100030136113,27.0,8.0,8.0
100030136121,91.0,12.0,87.0
100030136122,81.0,4.0,30.0
100030136123,74.0,8.0,31.0
100030136131,53.0,,12.0
100030136132,84.0,12.0,32.0
100030136133,104.0,4.0,12.0
100030136141,42.0,,
100030136142,217.0,8.0,20.0
100030136151,66.0,,4.0
100030136152,30.0,,5.0
100030136153,72.0,8.0,
100030137001,42.0,,
100030137002,203.0,12.0,9.0
100030137003,33.0,8.0,
100030138001,183.0,8.0,
100030138002,109.0,8.0,21.0
100030138003,102.0,9.0,16.0
100030139011,141.0,25.0,8.0
100030139012,48.0,12.0,
100030139013,65.0,20.0,4.0
100030139031,292.0,33.0,20.0
100030139032,158.0,4.0,12.0
100030139041,137.0,21.0,25.0
100030139042,107.0,38.0,9.0
100030139043,36.0,,14.0
100030139044,138.0,26.0,32.0
100030140001,36.0,,4.0
100030140002,30.0,4.0,
100030140003,153.0,20.0,17.0
100030140004,173.0,12.0,12.0
100030141001,45.0,27.0,4.0
100030141002,114.0,27.0,20.0
100030141003,248.0,25.0,24.0
100030142001,127.0,18.0,4.0
100030143001,53.0,,68.0
100030143002,72.0,20.0,40.0
100030143003,123.0,19.0,79.0
100030144021,36.0,25.0,61.0
100030144022,154.0,26.0,92.0
100030144031,67.0,15.0,43.0
100030144032,29.0,4.0,30.0
100030144033,108.0,46.0,91.0
100030144041,68.0,18.0,103.0
100030144042,42.0,8.0,56.0
100030145011,234.0,67.0,129.0
100030145021,164.0,30.0,60.0
100030145022,136.0,81.0,94.0
100030147021,119.0,12.0,30.0
100030147031,91.0,4.0,18.0
100030147032,68.0,6.0,
100030147033,101.0,22.0,4.0
100030147034,74.0,12.0,
100030147051,65.0,19.0,4.0
100030147052,232.0,16.0,12.0
100030147053,181.0,29.0,16.0
100030147061,73.0,8.0,17.0
100030147062,212.0,16.0,37.0
100030148031,134.0,23.0,85.0
100030148032,77.0,12.0,28.0
100030148051,88.0,16.0,20.0
100030148052,179.0,5.0,34.0
100030148053,255.0,14.0,83.0
100030148054,416.0,14.0,130.0
100030148071,200.0,20.0,100.0
100030148072,361.0,37.0,88.0
100030148073,116.0,26.0,12.0
100030148081,75.0,20.0,27.0
100030148082,94.0,9.0,20.0
100030148083,246.0,40.0,16.0
100030148084,83.0,4.0,
100030148091,427.0,76.0,81.0
100030148092,215.0,19.0,28.0
100030148093,119.0,18.0,22.0
100030148101,264.0,21.0,38.0
100030148102,241.0,35.0,12.0
100030148103,300.0,42.0,25.0
100030149031,208.0,29.0,32.0
100030149032,63.0,8.0,
100030149034,265.0,33.0,25.0
100030149041,175.0,16.0,8.0
100030149042,242.0,21.0,35.0
100030149061,130.0,,16.0
100030149062,256.0,29.0,32.0
100030149071,133.0,8.0,17.0
100030149072,106.0,4.0,4.0
100030149073,118.0,4.0,
100030149081,212.0,12.0,17.0
100030149091,145.0,4.0,7.0
100030149092,146.0,4.0,16.0
100030149093,117.0,,17.0
100030149094,139.0,17.0,20.0
100030150001,210.0,16.0,24.0
100030150002,105.0,6.0,12.0
100030150003,83.0,4.0,
100030150004,152.0,4.0,27.0
100030151001,242.0,9.0,8.0
100030151002,31.0,,4.0
100030152001,245.0,8.0,17.0
100030152002,31.0,4.0,
100030152003,71.0,8.0,16.0
100030152004,71.0,,4.0
100030152005,98.0,8.0,
100030154001,46.0,8.0,28.0
100030154002,161.0,16.0,
100030155021,94.0,21.0,8.0
100030155022,54.0,12.0,4.0
100030156001,73.0,8.0,
100030156002,109.0,8.0,
100030158021,33.0,,4.0
100030158022,74.0,4.0,20.0
100030159001,101.0,24.0,4.0
100030159002,97.0,4.0,
100030159003,113.0,12.0,4.0
100030160001,196.0,8.0,12.0
100030161001,140.0,,16.0
100030161002,69.0,,
100030162001,28.0,,4.0
100030162002,82.0,,
100030162003,117.0,8.0,4.0
100030163011,448.0,92.0,43.0
100030163012,307.0,25.0,51.0
100030163021,279.0,26.0,28.0
100030163022,169.0,4.0,21.0
100030163023,317.0,4.0,41.0
100030163051,371.0,23.0,38.0
100030163052,254.0,8.0,20.0
100030163053,128.0,4.0,12.0
100030164011,166.0,12.0,29.0
100030164012,549.0,41.0,63.0
100030164041,195.0,4.0,37.0
100030164042,86.0,4.0,26.0
100030164043,167.0,12.0,12.0
100030166011,399.0,20.0,135.0
100030166012,228.0,,42.0
100030166013,618.0,24.0,157.0
100030166021,642.0,29.0,184.0
100030166022,646.0,12.0,187.0
100030166041,252.0,,47.0
100030166042,835.0,16.0,241.0
100030166043,314.0,4.0,89.0
100030166081,176.0,16.0,24.0
100030166082,497.0,20.0,111.0
100030168011,580.0,4.0,141.0
100030168012,148.0,,52.0
100030168041,1000.0,33.0,280.0
100030168042,71.0,,20.0
100030169011,40.0,,9.0
100030169012,51.0,4.0,21.0
100030169042,88.0,,21.0
100039901000,4.0,,
100050501011,16.0,,
100050501012,4.0,,
100050501031,37.0,,4.0
100050501032,24.0,,
100050501041,4.0,,
100050501042,4.0,,4.0
100050501043,4.0,,
100050501051,24.0,,
100050501052,28.0,,
100050502001,7.0,,
100050502002,8.0,,
100050503012,12.0,,
100050503021,20.0,,4.0
100050503022,8.0,,
100050504011,8.0,,
100050504012,8.0,,
100050504031,4.0,,
100050504052,12.0,4.0,
100050504061,4.0,,
100050504071,4.0,,
100050504073,5.0,,
100050504081,5.0,,
100050504082,8.0,,
100050505012,32.0,4.0,
100050505031,12.0,,
100050505041,23.0,,
100050505043,12.0,,
100050506011,16.0,,
100050506012,8.0,,4.0
100050506021,8.0,,4.0
100050506022,12.0,,
100050506023,4.0,,
100050507011,4.0,,4.0
100050507041,17.0,,4.0
100050507042,4.0,,4.0
100050507051,12.0,,
100050507053,12.0,4.0,
100050507061,38.0,,4.0
100050507062,17.0,,
100050508011,20.0,,
100050508012,4.0,,
100050508021,4.0,,4.0
100050508022,16.0,,4.0
100050508031,12.0,,
100050508032,13.0,,
100050508033,16.0,4.0,7.0
100050508034,18.0,,4.0
100050509011,12.0,8.0,5.0
100050509021,4.0,,
100050509022,12.0,,4.0
100050509023,4.0,,
100050510031,8.0,,8.0
100050510032,4.0,,
100050510033,4.0,,
100050510041,20.0,,4.0
100050510042,17.0,,8.0
100050510051,29.0,,4.0
100050510052,16.0,,
100050510053,33.0,4.0,
100050510061,8.0,,
100050510062,5.0,,5.0
100050510071,4.0,,
100050510072,4.0,,
100050511022,9.0,,4.0
100050511023,4.0,,
100050511032,4.0,,
100050512012,8.0,,
100050512031,4.0,,
100050512042,4.0,,
100050512052,8.0,4.0,
100050513011,4.0,,
100050513012,16.0,,
100050513021,4.0,,
100050513031,32.0,,
100050513032,13.0,,
100050513033,20.0,,
100050513051,16.0,,
100050513063,12.0,,
100050514001,11.0,,
100050514002,13.0,,4.0
100050515001,4.0,,
100050515002,32.0,,8.0
100050515003,4.0,,4.0
100050517011,12.0,,
100050517012,8.0,,
100050517021,4.0,,
100050517022,12.0,,
100050517023,12.0,,
100050518011,20.0,,
100050518012,9.0,4.0,4.0
100050518021,20.0,,4.0
100050518022,8.0,,
100050519001,4.0,4.0,4.0
110010004001,4.0,,
110010008021,4.0,,
110010010012,4.0,,
110010015003,4.0,,
110010016001,4.0,,
110010019013,4.0,,
110010028022,4.0,,
110010033012,7.0,,
110010034002,4.0,,
110010036001,8.0,,
110010055004,4.0,,
110010070002,6.0,4.0,
110010075022,4.0,,
110010076013,4.0,,
110010092011,4.0,,4.0
110010101001,4.0,,
110010103002,4.0,,
110010109002,4.0,,
120090603002,4.0,,
120090621072,4.0,,
120090625002,8.0,,
120090641281,4.0,,
120090649011,4.0,,
120090649013,4.0,,
120090650213,6.0,,
120090661011,4.0,,
120090661041,5.0,,
120090686023,4.0,,
120090711001,4.0,,
120090713323,4.0,4.0,
120090713381,9.0,,
120090713391,4.0,,
120110106051,4.0,,
120110107022,4.0,,
120110301003,8.0,,
120110309042,4.0,,
120110404011,4.0,,
120110405021,4.0,,
120110418022,4.0,,
120110423011,4.0,,
120110502082,8.0,,
120110503011,4.0,,
120110503103,4.0,,
120110601262,4.0,,
120110605013,4.0,,
120110701014,4.0,,
120110702083,4.0,,
120110702091,4.0,,
120110703054,4.0,,
120110703171,9.0,,
120110902003,4.0,,
120111103011,4.0,,
120111103361,4.0,,
120150104031,6.0,,4.0
120150202023,4.0,,
120150209003,4.0,,
120150305032,4.0,,
